RowId,Country,Region,CustID,CustName,ProductSold,SalesChannel,UnitsSold,DateSold,ProductID,ProductName,StdCost,StdPrice
1,Hungary,Europe,24243,Lester Emerson,PURA200,Online,88,29/07/2016,PURA200,Pure Soft Detergent - 200ml,2,3.99
2,Unknown,Unknown,24194,Thomas Douglas,SUPA102,Online,138,18/08/2016,SUPA102,Super Soft - 250ml,2.5,4.5
3,Samoa ,Australia and Oceania,24062,Chloe Black,SUPA105,Direct,43,24/08/2016,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
5,Unknown,Unknown,24082,Evan York,PURA100,Retail,150,30/08/2016,PURA100,Pure Soft Detergent - 100ml,1.5,3
6,Unknown,Unknown,24148,Rae Hurst,PURA250,Retail,58,11/09/2016,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
8,Unknown,Unknown,24128,Ori Cummings,PURA100,Online,183,15/09/2016,PURA100,Pure Soft Detergent - 100ml,1.5,3
9,Unknown,Unknown,24075,Angelica Bridges,PURA250,Direct,4,19/09/2016,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
10,Afghanistan,Middle East and North Afr,24114,Vernon Daniels,SUPA105,Retail,179,02/10/2016,SUPA105,Super Soft Bulk - 2 Litres,8,14.5
12,Fiji,Australia and Oceania,24094,Rhea Stokes,SUPA101,Retail,71,12/10/2016,SUPA101,Super Soft - Product Sample,0.3,0
13,Armenia,Europe,24149,Tucker Klein,PURA100,Retail,142,15/10/2016,PURA100,Pure Soft Detergent - 100ml,1.5,3
14,Unknown,Unknown,24089,Calista Osborn,PURA250,Retail,124,17/10/2016,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
15,Unknown,Unknown,24175,Lani Ferrell,PURA250,Retail,97,21/10/2016,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
16,Cyprus,Europe,24223,Brenda Hays,PURA200,Retail,106,02/11/2016,PURA200,Pure Soft Detergent - 200ml,2,3.99
17,Czech Republic,Europe,24249,Jerome Hoffman,SUPA101,Retail,151,02/11/2016,SUPA101,Super Soft - Product Sample,0.3,0
18,El Salvador,Central America and the C,24118,Brendan Cruz,PURA500,Retail,41,05/11/2016,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
20,Unknown,Unknown,24159,Sebastian Huber,SUPA102,Retail,40,08/11/2016,SUPA102,Super Soft - 250ml,2.5,4.5
21,Tonga,Australia and Oceania,24256,Quail Knox,PURA500,Retail,43,11/11/2016,PURA500,Pure Soft Detergent - 500ml,3.5,6.5
22,Unknown,Unknown,24180,Bree Acevedo,SUPA101,Direct,168,01/12/2016,SUPA101,Super Soft - Product Sample,0.3,0
23,Philippines,Asia,24207,Oliver Cherry,SUPA101,Online,210,02/12/2016,SUPA101,Super Soft - Product Sample,0.3,0
24,Unknown,Unknown,24155,George Mcpherson,SUPA102,Direct,44,06/12/2016,SUPA102,Super Soft - 250ml,2.5,4.5
26,Botswana,Sub-Saharan Africa,24198,Stacy Schwartz,PURA200,Online,25,08/12/2016,PURA200,Pure Soft Detergent - 200ml,2,3.99
27,Vanuatu,Australia and Oceania,24208,Ramona Munoz,PURA250,Retail,94,14/12/2016,PURA250,Pure Soft Detergent - 250ml,2.3,4.5
28,Unknown,Unknown,24193,Lucius Figueroa,SUPA103,Direct,133,19/12/2016,SUPA103,Super Soft - 500ml,3.5,6.99
29,Unknown,Unknown,24166,Amery David,PURA100,Online,191,27/12/2016,PURA100,Pure Soft Detergent - 100ml,1.5,3
31,Gabon,Sub-Saharan Africa,24173,Adena Gates,SUPA104,Retail,136,27/12/2016,SUPA104,Super Soft - 1 Litre,5,9.99
32,Unknown,Unknown,24136,Sandra Perry,SUPA103,Online,174,29/12/2016,SUPA103,Super Soft - 500ml,3.5,6.99
